age,dob,gender,version,counter,block,trial,rule,target,Right,Left,rt,right answer,hit,no hits
6,02/09/2008,m,1,1,1,1,car.jpg,1,boat10.jpg,car03.jpg,1.2362,1,1,1
6,02/09/2008,m,1,2,1,2,car.jpg,0,cat03.jpg,boat09.jpg,0,1,0,0
6,02/09/2008,m,1,3,1,3,car.jpg,1,cat06.jpg,car08.jpg,0.95554,1,1,1
6,02/09/2008,m,1,4,1,4,car.jpg,0,cat03.jpg,boat04.jpg,0,1,0,0
6,02/09/2008,m,1,5,1,1,car.jpg,0,cat07.jpg,boat06.jpg,0,1,0,0
6,02/09/2008,m,1,6,1,2,car.jpg,0,boat06.jpg,cat08.jpg,0,1,0,0
6,02/09/2008,m,1,7,1,3,car.jpg,0,cat06.jpg,boat01.jpg,0,1,0,0
6,02/09/2008,m,1,8,1,4,car.jpg,0,cat04.jpg,boat01.jpg,0,1,0,0
6,02/09/2008,m,1,9,1,1,car.jpg,0,cat06.jpg,boat03.jpg,0,1,0,0
6,02/09/2008,m,1,10,1,2,car.jpg,1,boat07.jpg,car08.jpg,0.83696,1,1,1
6,02/09/2008,m,1,11,1,3,car.jpg,0,boat03.jpg,cat09.jpg,0,1,0,0
6,02/09/2008,m,1,12,1,4,car.jpg,0,boat10.jpg,cat04.jpg,0,1,0,0
6,02/09/2008,m,1,13,1,1,car.jpg,1,boat08.jpg,car04.jpg,1.1933,1,1,1
6,02/09/2008,m,1,14,1,2,car.jpg,1,car01.jpg,boat01.jpg,1.2173,1,1,1
6,02/09/2008,m,1,15,1,3,car.jpg,1,car07.jpg,cat05.jpg,1.3496,1,1,1
6,02/09/2008,m,1,16,1,4,car.jpg,1,car04.jpg,cat03.jpg,0.85902,1,1,1
6,02/09/2008,m,1,17,1,1,car.jpg,1,cat07.jpg,car04.jpg,1.0629,1,1,1
6,02/09/2008,m,1,18,1,2,car.jpg,1,car09.jpg,boat09.jpg,1.0622,1,1,1
6,02/09/2008,m,1,19,1,3,car.jpg,1,cat07.jpg,car10.jpg,0.91814,1,1,1
6,02/09/2008,m,1,20,1,4,car.jpg,1,cat06.jpg,car02.jpg,0.83626,1,1,1
6,02/09/2008,m,1,21,1,1,car.jpg,0,boat09.jpg,cat01.jpg,0,1,0,0
6,02/09/2008,m,1,22,1,2,car.jpg,1,car10.jpg,boat05.jpg,0.95444,1,1,1
6,02/09/2008,m,1,23,1,3,car.jpg,1,car09.jpg,boat06.jpg,0.77825,1,1,1
